Date : 2025-03-26 23:56:47
Directory : d:\AppData\VSCode\Projects\hizone
Total : 130 files,  2856 codes, 259 comments, 793 blanks, all 3908 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Java       |        101 |      2,220 |        236 |        752 |      3,208 |
| XML        |         10 |        326 |          9 |         22 |        357 |
| Markdown   |          1 |        121 |          0 |          1 |        122 |
| YAML       |          5 |        106 |          8 |          6 |        120 |
| Properties |         12 |         83 |          6 |         11 |        100 |
| Batch      |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        130 |      2,856 |        259 |        793 |      3,908 |
| . (Files)                                                                                                                        |          2 |        175 |          1 |          2 |        178 |
| model                                                                                                                            |         34 |        396 |          5 |        224 |        625 |
| model (Files)                                                                                                                    |          1 |         42 |          0 |          1 |         43 |
| model\src                                                                                                                        |         33 |        354 |          5 |        223 |        582 |
| model\src\main                                                                                                                   |         33 |        354 |          5 |        223 |        582 |
| model\src\main\java                                                                                                              |         33 |        354 |          5 |        223 |        582 |
| model\src\main\java\com                                                                                                          |         33 |        354 |          5 |        223 |        582 |
| model\src\main\java\com\example                                                                                                  |         33 |        354 |          5 |        223 |        582 |
| model\src\main\java\com\example\fenta                                                                                            |         33 |        354 |          5 |        223 |        582 |
| model\src\main\java\com\example\fenta\dao                                                                                        |          9 |        102 |          0 |         77 |        179 |
| model\src\main\java\com\example\fenta\dao (Files)                                                                                |          6 |         57 |          0 |         47 |        104 |
| model\src\main\java\com\example\fenta\dao\user                                                                                   |          3 |         45 |          0 |         30 |         75 |
| model\src\main\java\com\example\fenta\front                                                                                      |         19 |        142 |          0 |        102 |        244 |
| model\src\main\java\com\example\fenta\front\follow                                                                               |          3 |         21 |          0 |         15 |         36 |
| model\src\main\java\com\example\fenta\front\interaction                                                                          |          9 |         69 |          0 |         49 |        118 |
| model\src\main\java\com\example\fenta\front\login                                                                                |          1 |          7 |          0 |          5 |         12 |
| model\src\main\java\com\example\fenta\front\post                                                                                 |          3 |         24 |          0 |         18 |         42 |
| model\src\main\java\com\example\fenta\front\user                                                                                 |          3 |         21 |          0 |         15 |         36 |
| model\src\main\java\com\example\fenta\inter                                                                                      |          3 |         26 |          0 |         17 |         43 |
| model\src\main\java\com\example\fenta\utility                                                                                    |          2 |         84 |          5 |         27 |        116 |
| services                                                                                                                         |         94 |      2,285 |        253 |        567 |      3,105 |
| services (Files)                                                                                                                 |          1 |        101 |          8 |          1 |        110 |
| services\hizone-comment                                                                                                          |         11 |        506 |         64 |        113 |        683 |
| services\hizone-comment (Files)                                                                                                  |          1 |         18 |          0 |          3 |         21 |
| services\hizone-comment\src                                                                                                      |         10 |        488 |         64 |        110 |        662 |
| services\hizone-comment\src\main                                                                                                 |         10 |        488 |         64 |        110 |        662 |
| services\hizone-comment\src\main\java                                                                                            |         10 |        488 |         64 |        110 |        662 |
| services\hizone-comment\src\main\java\com                                                                                        |         10 |        488 |         64 |        110 |        662 |
| services\hizone-comment\src\main\java\com\example                                                                                |         10 |        488 |         64 |        110 |        662 |
| services\hizone-comment\src\main\java\com\example (Files)                                                                        |          1 |          6 |          0 |          1 |          7 |
| services\hizone-comment\src\main\java\com\example\config                                                                         |          2 |         73 |          4 |         13 |         90 |
| services\hizone-comment\src\main\java\com\example\controller                                                                     |          1 |        107 |         58 |         18 |        183 |
| services\hizone-comment\src\main\java\com\example\feign                                                                          |          1 |         10 |          0 |          5 |         15 |
| services\hizone-comment\src\main\java\com\example\mapper                                                                         |          1 |         32 |          0 |         13 |         45 |
| services\hizone-comment\src\main\java\com\example\service                                                                        |          4 |        260 |          2 |         60 |        322 |
| services\hizone-comment\src\main\java\com\example\service (Files)                                                                |          2 |         37 |          0 |         26 |         63 |
| services\hizone-comment\src\main\java\com\example\service\impl                                                                   |          2 |        223 |          2 |         34 |        259 |
| services\hizone-follow                                                                                                           |          8 |        186 |         35 |         58 |        279 |
| services\hizone-follow (Files)                                                                                                   |          1 |         18 |          0 |          3 |         21 |
| services\hizone-follow\src                                                                                                       |          7 |        168 |         35 |         55 |        258 |
| services\hizone-follow\src\main                                                                                                  |          7 |        168 |         35 |         55 |        258 |
| services\hizone-follow\src\main\java                                                                                             |          6 |        160 |         35 |         54 |        249 |
| services\hizone-follow\src\main\java\com                                                                                         |          6 |        160 |         35 |         54 |        249 |
| services\hizone-follow\src\main\java\com\example                                                                                 |          6 |        160 |         35 |         54 |        249 |
| services\hizone-follow\src\main\java\com\example (Files)                                                                         |          1 |          9 |          0 |          3 |         12 |
| services\hizone-follow\src\main\java\com\example\controller                                                                      |          1 |         72 |         35 |         13 |        120 |
| services\hizone-follow\src\main\java\com\example\feign                                                                           |          1 |         10 |          0 |          6 |         16 |
| services\hizone-follow\src\main\java\com\example\mapper                                                                          |          1 |         23 |          0 |         10 |         33 |
| services\hizone-follow\src\main\java\com\example\service                                                                         |          2 |         46 |          0 |         22 |         68 |
| services\hizone-follow\src\main\java\com\example\service (Files)                                                                 |          1 |         13 |          0 |          9 |         22 |
| services\hizone-follow\src\main\java\com\example\service\impl                                                                    |          1 |         33 |          0 |         13 |         46 |
| services\hizone-follow\src\main\resources                                                                                        |          1 |          8 |          0 |          1 |          9 |
| services\hizone-interaction                                                                                                      |         27 |        437 |         32 |         96 |        565 |
| services\hizone-interaction (Files)                                                                                              |          1 |         18 |          0 |          3 |         21 |
| services\hizone-interaction\src                                                                                                  |         26 |        419 |         32 |         93 |        544 |
| services\hizone-interaction\src\main                                                                                             |         26 |        419 |         32 |         93 |        544 |
| services\hizone-interaction\src\main\java                                                                                        |         12 |        293 |         26 |         78 |        397 |
| services\hizone-interaction\src\main\java\com                                                                                    |         12 |        293 |         26 |         78 |        397 |
| services\hizone-interaction\src\main\java\com\example                                                                            |         12 |        293 |         26 |         78 |        397 |
| services\hizone-interaction\src\main\java\com\example (Files)                                                                    |          1 |          9 |          0 |          3 |         12 |
| services\hizone-interaction\src\main\java\com\example\component                                                                  |          1 |         17 |          0 |          5 |         22 |
| services\hizone-interaction\src\main\java\com\example\config                                                                     |          3 |         87 |          4 |         17 |        108 |
| services\hizone-interaction\src\main\java\com\example\controller                                                                 |          1 |         78 |         21 |         13 |        112 |
| services\hizone-interaction\src\main\java\com\example\feign                                                                      |          1 |         10 |          0 |          6 |         16 |
| services\hizone-interaction\src\main\java\com\example\mapper                                                                     |          1 |         16 |          0 |          6 |         22 |
| services\hizone-interaction\src\main\java\com\example\service                                                                    |          4 |         76 |          1 |         28 |        105 |
| services\hizone-interaction\src\main\java\com\example\service (Files)                                                            |          2 |         16 |          0 |         11 |         27 |
| services\hizone-interaction\src\main\java\com\example\service\impl                                                               |          2 |         60 |          1 |         17 |         78 |
| services\hizone-interaction\src\main\resources                                                                                   |         14 |        126 |          6 |         15 |        147 |
| services\hizone-interaction\src\main\resources (Files)                                                                           |          1 |         43 |          0 |          3 |         46 |
| services\hizone-interaction\src\main\resources\redis                                                                             |         13 |         83 |          6 |         12 |        101 |
| services\hizone-interaction\src\main\resources\redis (Files)                                                                     |          1 |          0 |          0 |          1 |          1 |
| services\hizone-interaction\src\main\resources\redis\7000                                                                        |          2 |         13 |          1 |          1 |         15 |
| services\hizone-interaction\src\main\resources\redis\7001                                                                        |          2 |         14 |          1 |          2 |         17 |
| services\hizone-interaction\src\main\resources\redis\7002                                                                        |          2 |         14 |          1 |          2 |         17 |
| services\hizone-interaction\src\main\resources\redis\7003                                                                        |          2 |         14 |          1 |          2 |         17 |
| services\hizone-interaction\src\main\resources\redis\7004                                                                        |          2 |         14 |          1 |          2 |         17 |
| services\hizone-interaction\src\main\resources\redis\7005                                                                        |          2 |         14 |          1 |          2 |         17 |
| services\hizone-login                                                                                                            |          8 |        186 |         22 |         48 |        256 |
| services\hizone-login (Files)                                                                                                    |          1 |         23 |          0 |          2 |         25 |
| services\hizone-login\src                                                                                                        |          7 |        163 |         22 |         46 |        231 |
| services\hizone-login\src\main                                                                                                   |          7 |        163 |         22 |         46 |        231 |
| services\hizone-login\src\main\java                                                                                              |          7 |        163 |         22 |         46 |        231 |
| services\hizone-login\src\main\java\com                                                                                          |          7 |        163 |         22 |         46 |        231 |
| services\hizone-login\src\main\java\com\example                                                                                  |          7 |        163 |         22 |         46 |        231 |
| services\hizone-login\src\main\java\com\example (Files)                                                                          |          1 |          9 |          0 |          2 |         11 |
| services\hizone-login\src\main\java\com\example\component                                                                        |          1 |         39 |          0 |          9 |         48 |
| services\hizone-login\src\main\java\com\example\config                                                                           |          1 |         17 |          0 |          6 |         23 |
| services\hizone-login\src\main\java\com\example\controller                                                                       |          1 |         33 |         11 |          8 |         52 |
| services\hizone-login\src\main\java\com\example\mapper                                                                           |          1 |         12 |          0 |          6 |         18 |
| services\hizone-login\src\main\java\com\example\service                                                                          |          2 |         53 |         11 |         15 |         79 |
| services\hizone-login\src\main\java\com\example\service (Files)                                                                  |          1 |          7 |          0 |          5 |         12 |
| services\hizone-login\src\main\java\com\example\service\impl                                                                     |          1 |         46 |         11 |         10 |         67 |
| services\hizone-post                                                                                                             |         14 |        327 |         46 |         94 |        467 |
| services\hizone-post (Files)                                                                                                     |          1 |         18 |          0 |          3 |         21 |
| services\hizone-post\src                                                                                                         |         13 |        309 |         46 |         91 |        446 |
| services\hizone-post\src\main                                                                                                    |         13 |        309 |         46 |         91 |        446 |
| services\hizone-post\src\main\java                                                                                               |         12 |        289 |         46 |         90 |        425 |
